Problem,Model,Response,Result
11b,granite,6,Ansible Error Multiple modules specified: ansible.builtin.copy and delegate_to
11b,granite,7,Verification Failure
11b,granite,8,Ansible Error No argument flatten of module ansible.builtin.copy
11b,granite,9,Verification Failure
11b,granite,10,Verification Failure
11b,llama,1,Verification Failure
11b,llama,2,Ansible Error No argument mode of module fetch
11b,llama,3,Verification Failure
11b,llama,4,Ansible Error unhandled Jinja expression form
11b,llama,5,Syntax Error
11b,llama,6,Ansible Error Multiple looping fields
11b,llama,7,Syntax Error
11b,llama,8,Verification Failure
11b,llama,9,Verification Failure
11b,llama,10,Verification Failure
11b,qwen,1,Verification Failure
11b,qwen,2,Verification Failure
11b,qwen,3,Verification Failure
11b,qwen,4,Verification Failure
11b,qwen,5,Verification Failure
11b,qwen,6,Verification Failure
11b,qwen,7,Ansible Error Value has no field 'name'
11b,qwen,8,Verification Failure
11b,qwen,9,Verification Failure
11b,qwen,10,Verification Failure
11b,starcoder,1,Verification Failure
11b,starcoder,2,Verification Failure
11b,starcoder,3,Ansible Error Could not find module ansible.windows.win_copy
11b,starcoder,4,Ansible Error Could not find module ansible.posix.synchronize
11b,starcoder,5,Verification Failure
11b,starcoder,6,Ansible Error No argument filter of module copy
11b,starcoder,7,Verification Failure
11b,starcoder,8,Syntax Error
11b,starcoder,9,Ansible Error No argument pattern of module copy
11b,starcoder,10,Syntax Error
12,deepseek,1,Verification Failure
12,deepseek,2,Verification Failure
12,deepseek,3,Verification Failure
12,deepseek,4,Verification Failure
12,deepseek,5,Verification Failure
12,deepseek,6,Verification Failure
12,deepseek,7,Verification Failure
12,deepseek,8,Verification Failure
12,deepseek,9,Verification Failure
12,deepseek,10,Verification Failure
12,gpt,1,Correct
12,gpt,2,Correct
12,gpt,3,Correct
12,gpt,4,Verification Failure
12,gpt,5,Ansible Error Could not find module ansible.builtin.rename
12,gpt,6,Verification Failure
12,gpt,7,Verification Failure
12,gpt,8,Correct
12,gpt,9,Correct
12,gpt,10,Ansible Error Could not find module ansible.builtin.move
12,granite,1,Verification Failure
12,granite,2,Verification Failure
12,granite,3,Verification Failure
12,granite,4,Verification Failure
12,granite,5,Verification Failure
12,granite,6,Verification Failure
12,granite,7,Ansible Error Could not find module ansible.builtin.command
12,granite,8,Verification Failure
12,granite,9,Verification Failure
12,granite,10,Verification Failure
12,llama,1,Ansible Error unhandled Jinja expression form
12,llama,2,Syntax Error
12,llama,3,Ansible Error Unknown variable ansible_user
12,llama,4,Verification Failure
12,llama,5,Ansible Error unhandled Jinja expression form
12,llama,6,Verification Failure
12,llama,7,Ansible Error unhandled Jinja expression form
12,llama,8,Verification Failure
12,llama,9,Verification Failure
12,llama,10,Ansible Error Multiple modules specified: copy and delegate_to
12,qwen,1,Verification Failure
12,qwen,2,Verification Failure
12,qwen,3,Ansible Error Invalid value 'replaced' expected one of [absent, directory, file, hard, link, touch]
12,qwen,4,Ansible Error Invalid value 'present' expected one of [absent, directory, file, hard, link, touch]
12,qwen,5,Verification Failure
12,qwen,6,Verification Failure
12,qwen,7,Ansible Error Invalid value 'replaced' expected one of [absent, directory, file, hard, link, touch]
12,qwen,8,Verification Failure
12,qwen,9,Verification Failure
12,qwen,10,Verification Failure
12,starcoder,1,Verification Failure
12,starcoder,2,Verification Failure
12,starcoder,3,Verification Failure
12,starcoder,4,Verification Failure
12,starcoder,5,Verification Failure
12,starcoder,6,Verification Failure
12,starcoder,7,Verification Failure
12,starcoder,8,Verification Failure
12,starcoder,9,Verification Failure
12,starcoder,10,Ansible Error Could not find module ansible.builtin.command
13,deepseek,1,Ansible Error No argument create_remote_user of module ansible.builtin.file
13,deepseek,2,Ansible Error Could not find module blockinfile
13,deepseek,3,Ansible Error No argument create_home of module ansible.builtin.file
13,deepseek,4,Ansible Error Could not find module blockinfile
13,deepseek,5,Verification Failure
13,deepseek,6,Verification Failure
13,deepseek,7,Ansible Error jinja parsing error
13,deepseek,8,Ansible Error expected value found mapping
13,deepseek,9,Verification Failure
13,deepseek,10,Ansible Error No argument content of module ansible.builtin.file
13,gpt,1,Correct
13,gpt,2,Correct
13,gpt,3,Correct
13,gpt,4,Correct
13,gpt,5,Correct
13,gpt,6,Correct
13,gpt,7,Ansible Error unhandled Jinja expression form
13,gpt,8,Correct
13,gpt,9,Correct
13,gpt,10,Correct
13,granite,1,Verification Failure
13,granite,2,Verification Failure
13,granite,3,Verification Failure
13,granite,4,Correct
13,granite,5,Verification Failure
13,granite,6,Verification Failure
13,granite,7,Correct
13,granite,8,Ansible Error No argument create of module file
13,granite,9,Verification Failure
13,granite,10,Verification Failure
13,llama,1,Ansible Error unhandled Jinja expression form
13,llama,2,Ansible Error Could not find module block
13,llama,3,Ansible Error Could not find module ansible.builtin.template
13,llama,4,Ansible Error Could not find module ansible.builtin.template
13,llama,5,Syntax Error
13,llama,6,Ansible Error No argument content of module ansible.builtin.file
13,llama,7,Ansible Error No argument content of module ansible.builtin.file
13,llama,8,Ansible Error No argument content of module ansible.builtin.file
13,llama,9,Ansible Error No argument content of module ansible.builtin.file
13,llama,10,Ansible Error No argument content of module file
13,qwen,1,Ansible Error No argument content of module file
13,qwen,2,Correct
13,qwen,3,Ansible Error Invalid value 'present' expected one of [absent, directory, file, hard, link, touch]
13,qwen,4,Ansible Error No argument content of module file
13,qwen,5,Ansible Error No argument content of module file
13,qwen,6,Ansible Error No argument append of module file
13,qwen,7,Ansible Error No argument content of module ansible.builtin.file
13,qwen,8,Ansible Error Invalid value 'present' expected one of [absent, directory, file, hard, link, touch]
13,qwen,9,Ansible Error No argument content of module file
13,qwen,10,Ansible Error No argument content of module ansible.builtin.file
13,starcoder,1,Ansible Error No argument state of module ansible.builtin.copy
13,starcoder,2,Ansible Error Could not find module ansible.builtin.template
13,starcoder,3,Ansible Error No argument content of module file
13,starcoder,4,Ansible Error No argument content of module ansible.builtin.file
13,starcoder,5,Correct
13,starcoder,6,Verification Failure
13,starcoder,7,Correct
13,starcoder,8,Ansible Error Could not find module assert
13,starcoder,9,Correct
13,starcoder,10,Ansible Error Could not find module ansible.builtin.shell
14,deepseek,1,Ansible Error Multiple modules specified: ansible.builtin.command and failed_when
14,deepseek,2,Ansible Error Could not find module ansible.builtin.command
14,deepseek,3,Ansible Error Could not find module ansible.builtin.command
14,deepseek,4,Ansible Error Multiple modules specified: ansible.builtin.command and failed_when
14,deepseek,5,Verification Failure
14,deepseek,6,Ansible Error Could not find module ansible.builtin.command
14,deepseek,7,Ansible Error Could not find module ansible.builtin.systemd
14,deepseek,8,Ansible Error Multiple modules specified: ansible.builtin.command and poll
14,deepseek,9,Ansible Error Could not find module ansible.builtin.command
14,deepseek,10,Ansible Error Multiple modules specified: command and poll
14,gpt,1,Correct
14,gpt,2,Correct
14,gpt,3,Correct
14,gpt,4,Correct
14,gpt,5,Correct
14,gpt,6,Correct
14,gpt,7,Correct
14,gpt,8,Correct
14,gpt,9,Correct
14,gpt,10,Correct
14,granite,1,Verification Failure
14,granite,2,Ansible Error No argument when of module ansible.builtin.reboot
14,granite,3,Verification Failure
14,granite,4,Verification Failure
14,granite,5,Ansible Error Could not find module ansible.builtin.systemd
14,granite,6,Verification Failure
14,granite,7,Ansible Error Could not find module systemd
14,granite,8,Ansible Error Could not find module ansible.builtin.systemd
14,granite,9,Ansible Error Multiple modules specified: command and failed_when
14,granite,10,Ansible Error Could not find module ansible.builtin.command
14,llama,1,Syntax Error
14,llama,2,Ansible Error Could not find module uri
14,llama,3,Ansible Error Could not find module system_info
14,llama,4,Ansible Error Could not find module debconf.state
14,llama,5,Ansible Error jinja parsing error
14,llama,6,Correct
14,llama,7,Ansible Error Could not find module debconf
14,llama,8,Ansible Error Could not find module assert
14,llama,9,Verification Failure
14,llama,10,Ansible Error Could not find module ansible.builtin package
14,qwen,1,Ansible Error Could not find module block
14,qwen,2,Ansible Error Could not find module blockinfile
14,qwen,3,Syntax Error
14,qwen,4,Ansible Error Could not find module command
14,qwen,5,Ansible Error Could not find module command
14,qwen,6,Ansible Error Multiple modules specified: block and delay
14,qwen,7,Ansible Error unhandled Jinja expression form
14,qwen,8,Ansible Error Could not find module ansible.builtin.systemd
14,qwen,9,Ansible Error Unknown variable ansible_bios
14,qwen,10,Ansible Error unhandled Jinja expression form
14,starcoder,1,Ansible Error Multiple modules specified: command and failed_when
14,starcoder,2,Ansible Error Multiple modules specified: shell and args
14,starcoder,3,Correct
14,starcoder,4,Ansible Error Could not find module wait_for_connection
14,starcoder,5,Correct
14,starcoder,6,Correct
14,starcoder,7,Ansible Error unhandled Jinja expression form
14,starcoder,8,Ansible Error Could not find module command
14,starcoder,9,Ansible Error Multiple modules specified: shell and failed_when
14,starcoder,10,Ansible Error Could not find module debug
15,deepseek,1,Correct
15,deepseek,2,Correct
15,deepseek,3,Correct
15,deepseek,4,Correct
15,deepseek,5,Correct
15,deepseek,6,Correct
15,deepseek,7,Correct
15,deepseek,8,Correct
15,deepseek,9,Correct
15,deepseek,10,Correct
15,gpt,1,Correct
15,gpt,2,Verification Failure
15,gpt,3,Correct
15,gpt,4,Verification Failure
15,gpt,5,Verification Failure
15,gpt,6,Correct
15,gpt,7,Correct
15,gpt,8,Ansible Error Invalid value 'empty' expected one of [absent, directory, file, hard, link, touch]
15,gpt,9,Correct
15,gpt,10,Correct
15,granite,1,Correct
15,granite,2,Correct
15,granite,3,Correct
15,granite,4,Correct
15,granite,5,Correct
15,granite,6,Correct
15,granite,7,Correct
15,granite,8,Correct
15,granite,9,Correct
15,granite,10,Correct
15,llama,1,Correct
15,llama,2,Correct
15,llama,3,Correct
15,llama,4,Correct
15,llama,5,Correct
15,llama,6,Correct
15,llama,7,Correct
15,llama,8,Verification Failure
15,llama,9,Correct
15,llama,10,Correct
15,qwen,1,Verification Failure
15,qwen,2,Ansible Error No argument recursive of module file
15,qwen,3,Ansible Error Argument state appears multiple times
15,qwen,4,Ansible Error Could not find module files
15,qwen,5,Correct
15,qwen,6,Verification Failure
15,qwen,7,Correct
15,qwen,8,Verification Failure
15,qwen,9,Correct
15,qwen,10,Correct
15,starcoder,1,Ansible Error Could not find module ansible.builtin.shell
15,starcoder,2,Verification Failure
15,starcoder,3,Correct
15,starcoder,4,Verification Failure
15,starcoder,5,Correct
15,starcoder,6,Correct
15,starcoder,7,Ansible Error no module invocation in task
15,starcoder,8,Verification Failure
15,starcoder,9,Correct
15,starcoder,10,Ansible Error Argument state appears multiple times
16,deepseek,1,Correct
16,deepseek,2,Verification Failure
16,deepseek,3,Ansible Error Could not find module ansible.posix.user
16,deepseek,4,Verification Failure
16,deepseek,5,Ansible Error Could not find module ansible.posix.user
16,deepseek,6,Verification Failure
16,deepseek,7,Verification Failure
16,deepseek,8,Verification Failure
16,deepseek,9,Verification Failure
16,deepseek,10,Ansible Error Could not find module ansible.posix.user
16,gpt,1,Verification Failure
16,gpt,2,Verification Failure
16,gpt,3,Verification Failure
16,gpt,4,Correct
16,gpt,5,Correct
16,gpt,6,Verification Failure
16,gpt,7,Correct
16,gpt,8,Correct
16,gpt,9,Correct
16,gpt,10,Correct
16,granite,1,Verification Failure
16,granite,2,Verification Failure
16,granite,3,Correct
16,granite,4,Verification Failure
16,granite,5,Verification Failure
16,granite,6,Verification Failure
16,granite,7,Verification Failure
16,granite,8,Verification Failure
16,granite,9,Verification Failure
16,granite,10,Correct
16,llama,1,Verification Failure
16,llama,2,Verification Failure
16,llama,3,Verification Failure
16,llama,4,Ansible Error Could not find module template
16,llama,5,Syntax Error
16,llama,6,Verification Failure
16,llama,7,Verification Failure
16,llama,8,Ansible Error No argument update_shell of module user
16,llama,9,Ansible Error Could not find module template
16,llama,10,Ansible Error Could not find module ansible.builtin.pkg_manager
16,qwen,1,Verification Failure
16,qwen,2,Ansible Error No argument login_shell of module ansible.builtin.user
16,qwen,3,Ansible Error Could not find module packages
16,qwen,4,Ansible Error Could not find module template
16,qwen,5,Verification Failure
16,qwen,6,Verification Failure
16,qwen,7,Ansible Error No argument append_shell of module ansible.builtin.user
16,qwen,8,Ansible Error Could not find module template
16,qwen,9,Verification Failure
16,qwen,10,Correct
16,starcoder,1,Ansible Error expected value found mapping
16,starcoder,2,Correct
16,starcoder,3,Correct
16,starcoder,4,Ansible Error jinja parsing error
16,starcoder,5,Verification Failure
16,starcoder,6,Correct
16,starcoder,7,Verification Failure
16,starcoder,8,Verification Failure
16,starcoder,9,Correct
16,starcoder,10,Ansible Error Could not find module ansible.builtin.shell
17,deepseek,1,Ansible Error Could not find module command
17,deepseek,2,Ansible Error Could not find module ansible.builtin.command
17,deepseek,3,Verification Failure
17,deepseek,4,Ansible Error Could not find module ansible.builtin.command
17,deepseek,5,Ansible Error Could not find module command
17,deepseek,6,Ansible Error jinja parsing error
17,deepseek,7,Ansible Error Could not find module ansible.builtin.command
17,deepseek,8,Ansible Error jinja parsing error
17,deepseek,9,Ansible Error Multiple modules specified: package and vars
17,deepseek,10,Verification Failure
17,gpt,1,Verification Failure
17,gpt,2,Verification Failure
17,gpt,3,Verification Failure
17,gpt,4,Verification Failure
17,gpt,5,Verification Failure
17,gpt,6,Correct
17,gpt,7,Verification Failure
17,gpt,8,Verification Failure
17,gpt,9,Correct
17,gpt,10,Verification Failure
17,granite,1,Verification Failure
17,granite,2,Ansible Error jinja parsing error
17,granite,3,Ansible Error Could not find module ansible.builtin.command
17,granite,4,Ansible Error jinja parsing error
17,granite,5,Verification Failure
17,granite,6,Ansible Error jinja parsing error
17,granite,7,Ansible Error Could not find module block
17,granite,8,Ansible Error Could not find module block
17,granite,9,Verification Failure
17,granite,10,Ansible Error Could not find module command
17,llama,1,Ansible Error unhandled Jinja expression form
17,llama,2,Ansible Error unhandled Jinja expression form
17,llama,3,Ansible Error Could not find module template
17,llama,4,Ansible Error unhandled Jinja expression form
17,llama,5,Ansible Error unhandled Jinja expression form
17,llama,6,Ansible Error unhandled Jinja expression form
17,llama,7,Ansible Error Could not find module include_role
17,llama,8,Ansible Error unhandled Jinja expression form
17,llama,9,Ansible Error unhandled Jinja expression form
17,llama,10,Ansible Error Could not find module template
17,qwen,1,Syntax Error
17,qwen,2,Ansible Error jinja parsing error
17,qwen,3,Ansible Error expected value found mapping
17,qwen,4,Ansible Error unhandled Jinja expression form
17,qwen,5,Ansible Error unhandled Jinja expression form
17,qwen,6,Ansible Error unhandled Jinja expression form
17,qwen,7,Ansible Error jinja parsing error
17,qwen,8,Verification Failure
17,qwen,9,Ansible Error Could not find module backup
17,qwen,10,Verification Failure
17,starcoder,1,Syntax Error
17,starcoder,2,Verification Failure
17,starcoder,3,Ansible Error Could not find module ansible.builtin.shell
17,starcoder,4,Ansible Error Could not find module uri
17,starcoder,5,Ansible Error Multiple modules specified: include_role and vars
17,starcoder,6,Ansible Error Could not find module command
17,starcoder,7,Ansible Error unhandled Jinja expression form
17,starcoder,8,Ansible Error expected value found mapping
17,starcoder,9,Ansible Error Could not find module block
17,starcoder,10,Ansible Error Multiple modules specified: yum and apt
18,deepseek,1,Verification Failure
18,deepseek,2,Verification Failure
18,deepseek,3,Verification Failure
18,deepseek,4,Verification Failure
18,deepseek,5,Ansible Error Multiple modules specified: command and failed_when
18,deepseek,6,Ansible Error Could not find module ansible.builtin.uri
18,deepseek,7,Verification Failure
18,deepseek,8,Ansible Error Could not find module ansible.builtin.uri
18,deepseek,9,Verification Failure
18,deepseek,10,Verification Failure
18,gpt,1,Syntax Error
18,gpt,2,Verification Failure
18,gpt,3,Verification Failure
18,gpt,4,Verification Failure
18,gpt,5,Verification Failure
18,gpt,6,Verification Failure
18,gpt,7,Verification Failure
18,gpt,8,Verification Failure
18,gpt,9,Verification Failure
18,gpt,10,Verification Failure
18,granite,1,Correct
18,granite,2,Verification Failure
18,granite,3,Verification Failure
18,granite,4,Verification Failure
18,granite,5,Verification Failure
18,granite,6,Verification Failure
18,granite,7,Verification Failure
18,granite,8,Verification Failure
18,granite,9,Verification Failure
18,granite,10,Verification Failure
18,llama,1,Ansible Error Could not find module ansible.builtin.authorized_key
18,llama,2,Syntax Error
18,llama,3,Ansible Error Could not find module ansible.builtin.template
18,llama,4,Ansible Error Could not find module ansible.builtin.pkg_manager
18,llama,5,Verification Failure
18,llama,6,Verification Failure
18,llama,7,Ansible Error Could not find module ansible.builtin.template
18,llama,8,Ansible Error Could not find module template
18,llama,9,Ansible Error Could not find module ansible.builtin.template
18,llama,10,Ansible Error Could not find module ansible.builtin.template
18,qwen,1,Ansible Error Invalid value 'present' expected one of [absent, directory, file, hard, link, touch]
18,qwen,2,Ansible Error Could not find module template
18,qwen,3,Ansible Error Invalid value 'present' expected one of [absent, directory, file, hard, link, touch]
18,qwen,4,Correct
18,qwen,5,Ansible Error No argument content of module file
18,qwen,6,Ansible Error unhandled Jinja expression form
18,qwen,7,Ansible Error Could not find module template
18,qwen,8,Ansible Error Could not find module template
18,qwen,9,Verification Failure
18,qwen,10,Ansible Error Could not find module template
18,starcoder,1,Ansible Error non-string key is not supported
18,starcoder,2,Verification Failure
18,starcoder,3,Ansible Error Could not find module systemd
18,starcoder,4,Ansible Error Could not find module ansible.builtin.template
18,starcoder,5,Ansible Error Could not find module systemd
18,starcoder,6,Ansible Error Invalid value 'installed' expected one of [absent, latest, present]
18,starcoder,7,Verification Failure
18,starcoder,8,Verification Failure
18,starcoder,9,Verification Failure
18,starcoder,10,Ansible Error Could not find module import_role
19,deepseek,1,Verification Failure
19,deepseek,2,Verification Failure
19,deepseek,3,Verification Failure
19,deepseek,4,Verification Failure
19,deepseek,5,Verification Failure
19,deepseek,6,Verification Failure
19,deepseek,7,Verification Failure
19,deepseek,8,Ansible Error Could not find module ansible.posix.user
19,deepseek,9,Verification Failure
19,deepseek,10,Verification Failure
19,gpt,1,Verification Failure
19,gpt,2,Verification Failure
19,gpt,3,Verification Failure
19,gpt,4,Verification Failure
19,gpt,5,Verification Failure
19,gpt,6,Verification Failure
19,gpt,7,Verification Failure
19,gpt,8,Verification Failure
19,gpt,9,Verification Failure
19,gpt,10,Verification Failure
19,granite,1,Ansible Error Could not find module ansible.posix.lineinfile
19,granite,2,Verification Failure
19,granite,3,Verification Failure
19,granite,4,Verification Failure
19,granite,5,Verification Failure
19,granite,6,Verification Failure
19,granite,7,Verification Failure
19,granite,8,Verification Failure
19,granite,9,Verification Failure
19,granite,10,Ansible Error unhandled Jinja expression form
19,llama,1,Verification Failure
19,llama,2,Verification Failure
19,llama,3,Ansible Error unhandled Jinja expression form
19,llama,4,Verification Failure
19,llama,5,Verification Failure
19,llama,6,Syntax Error
19,llama,7,Ansible Error Could not find module authn_mods
19,llama,8,Verification Failure
19,llama,9,Ansible Error Could not find module sysctl
19,llama,10,Syntax Error
19,qwen,1,Verification Failure
19,qwen,2,Ansible Error No argument content of module file
19,qwen,3,Verification Failure
19,qwen,4,Verification Failure
19,qwen,5,Verification Failure
19,qwen,6,Verification Failure
19,qwen,7,Ansible Error No argument notify of module lineinfile
19,qwen,8,Verification Failure
19,qwen,9,Verification Failure
19,qwen,10,Verification Failure
19,starcoder,1,Syntax Error
19,starcoder,2,Verification Failure
19,starcoder,3,Verification Failure
19,starcoder,4,Verification Failure
19,starcoder,5,Ansible Error unhandled Jinja expression form
19,starcoder,6,Verification Failure
19,starcoder,7,Verification Failure
19,starcoder,8,Ansible Error unhandled Jinja expression form
19,starcoder,9,Verification Failure
19,starcoder,10,Verification Failure
20,deepseek,1,Ansible Error Could not find module ansible.posix.authorized_key
20,deepseek,2,Verification Failure
20,deepseek,3,Ansible Error Multiple modules specified: ansible.builtin.command and args
20,deepseek,4,Ansible Error Could not find module ansible.builtin.command
20,deepseek,5,Ansible Error Could not find module ansible.builtin.command
20,deepseek,6,Ansible Error Multiple modules specified: shell and args
20,deepseek,7,Ansible Error Multiple modules specified: ansible.builtin.user and with_first_found
20,deepseek,8,Verification Failure
20,deepseek,9,Ansible Error Could not find module shell
20,deepseek,10,Verification Failure
20,gpt,1,Ansible Error Could not find module openssh_keypair
20,gpt,2,Ansible Error Could not find module openssh_keypair
20,gpt,3,Ansible Error Could not find module ansible.builtin.openssh_keypair
20,gpt,4,Ansible Error Could not find module ansible.builtin.openssh_keypair
20,gpt,5,Ansible Error Could not find module ansible.builtin.openssh_keypair
20,gpt,6,Ansible Error Could not find module ansible.builtin.openssh_keypair
20,gpt,7,Ansible Error Unknown ansible_fact pkg_mgr
20,gpt,8,Ansible Error Could not find module ansible.builtin.systemd
20,gpt,9,Ansible Error Could not find module ansible.builtin.openssh_keypair
20,gpt,10,Ansible Error Could not find module openssh_keypair
20,granite,1,Ansible Error jinja parsing error
20,granite,2,Verification Failure
20,granite,3,Ansible Error jinja parsing error
20,granite,4,Ansible Error jinja parsing error
20,granite,5,Ansible Error jinja parsing error
20,granite,6,Ansible Error jinja parsing error
20,granite,7,Ansible Error Could not find module command
20,granite,8,Verification Failure
20,granite,9,Ansible Error Multiple modules specified: ansible.builtin.command and args
20,granite,10,Ansible Error jinja parsing error
20,llama,1,Ansible Error Unknown variable ansible_distribution_major_version
20,llama,2,Ansible Error Multiple modules specified: file and block
20,llama,3,Ansible Error Could not find module ssh_keypair
20,llama,4,Syntax Error
20,llama,5,Ansible Error Multiple modules specified: user and delegate_to
20,llama,6,Verification Failure
20,llama,7,Ansible Error unhandled Jinja expression form
20,llama,8,Ansible Error unhandled Jinja expression form
20,llama,9,Verification Failure
20,llama,10,Ansible Error Could not find module ssh_keypair
20,qwen,1,Ansible Error Multiple modules specified: ansible.builtin.command and args
20,qwen,2,Ansible Error unhandled Jinja expression form
20,qwen,3,Ansible Error Multiple modules specified: command and args
20,qwen,4,Ansible Error Multiple modules specified: gather_facts and roles
20,qwen,5,Ansible Error Multiple modules specified: hosts and vars
20,qwen,6,Ansible Error Could not find module authorized_key
20,qwen,7,Ansible Error Multiple modules specified: ansible.builtin.shell and args
20,qwen,8,Ansible Error Multiple modules specified: apt and yum
20,qwen,9,Ansible Error No argument upgrade of module yum
20,qwen,10,Ansible Error unhandled Jinja expression form
20,starcoder,1,Ansible Error Could not find module community.crypto.openssh_keypair
20,starcoder,2,Ansible Error Could not find module systemd
20,starcoder,3,Ansible Error Multiple modules specified: community.crypto.openssl_privatekey and delegate_to
20,starcoder,4,Verification Failure
20,starcoder,5,Ansible Error unhandled Jinja expression form
20,starcoder,6,Ansible Error Could not find module ansible.builtin.shell
20,starcoder,7,Ansible Error Could not find module block
20,starcoder,8,Syntax Error
20,starcoder,9,Ansible Error unhandled Jinja expression form
20,starcoder,10,Ansible Error Could not find module systemd
